IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
144.34.228.162,443,TRUE,LAX,North America,Los Angeles,169 ms,6300 kB/s
47.99.108.15,443,TRUE,SJC,North America,San Jose,170 ms,6017 kB/s
74.211.102.111,443,TRUE,LAX,North America,Los Angeles,170 ms,5541 kB/s
67.226.221.102,443,TRUE,SJC,North America,San Jose,175 ms,5300 kB/s
216.40.87.26,443,TRUE,LAX,North America,Los Angeles,175 ms,5147 kB/s
166.88.159.58,443,TRUE,ORD,North America,Chicago,176 ms,4720 kB/s
104.224.152.99,443,TRUE,LAX,North America,Los Angeles,184 ms,4674 kB/s
120.26.61.84,443,TRUE,SJC,North America,San Jose,193 ms,4413 kB/s
3.86.85.68,443,TRUE,IAD,North America,Ashburn,202 ms,4141 kB/s
172.235.54.221,443,TRUE,LAX,North America,Los Angeles,203 ms,4003 kB/s
192.243.119.121,443,TRUE,LAX,North America,Los Angeles,211 ms,3977 kB/s
45.11.230.7,443,TRUE,IAD,North America,Ashburn,211 ms,3911 kB/s
91.236.230.121,443,TRUE,LAX,North America,Los Angeles,211 ms,3799 kB/s
143.198.31.221,443,TRUE,EWR,North America,Newark,213 ms,2462 kB/s
47.92.161.8,443,TRUE,SJC,North America,San Jose,226 ms,2254 kB/s
35.239.174.101,443,TRUE,ORD,North America,Chicago,227 ms,2218 kB/s
162.243.50.216,443,TRUE,EWR,North America,Newark,229 ms,2085 kB/s
107.150.25.185,443,TRUE,LAX,North America,Los Angeles,234 ms,1911 kB/s
143.42.4.6,443,TRUE,EWR,North America,Newark,234 ms,1828 kB/s
50.228.203.26,443,TRUE,MIA,North America,Miami,234 ms,1784 kB/s
154.9.227.100,443,TRUE,LAX,North America,Los Angeles,236 ms,1768 kB/s
65.49.210.99,443,TRUE,LAX,North America,Los Angeles,239 ms,1767 kB/s
146.235.231.239,443,TRUE,SJC,North America,San Jose,242 ms,1759 kB/s
141.11.234.238,443,TRUE,EWR,North America,Newark,242 ms,1624 kB/s
34.42.77.60,443,TRUE,ORD,North America,Chicago,248 ms,1599 kB/s
138.128.222.207,443,TRUE,LAX,North America,Los Angeles,248 ms,1580 kB/s
162.243.115.23,443,TRUE,EWR,North America,Newark,249 ms,1527 kB/s
45.32.79.55,443,TRUE,LAX,North America,Los Angeles,252 ms,1509 kB/s
192.69.93.205,443,TRUE,LAX,North America,Los Angeles,254 ms,1497 kB/s
148.135.76.112,443,TRUE,LAX,North America,Los Angeles,256 ms,1490 kB/s
104.168.117.110,443,TRUE,BUF,North America,Buffalo,257 ms,1482 kB/s
143.42.190.254,443,TRUE,EWR,North America,Newark,257 ms,1274 kB/s
20.84.117.28,443,TRUE,IAD,North America,Ashburn,260 ms,1272 kB/s
103.142.87.118,443,TRUE,LAX,North America,Los Angeles,264 ms,1194 kB/s
91.149.239.64,443,TRUE,LAX,North America,Los Angeles,265 ms,1187 kB/s
23.95.189.91,443,TRUE,YYZ,North America,Toronto,266 ms,1100 kB/s
74.48.204.74,443,TRUE,LAX,North America,Los Angeles,267 ms,1090 kB/s
